Наименование аккредитационного органа, выдавшего свидетельство о государственной аккредитации;Полное наименование, местонахождение организации, имеющей свидетельство о государственной аккредитации  ;Местонахождение юридического лица;Геоданные;Режим работы;Государственный регистрационный номер записи о создании юридического лица;Идентификационный номер налогоплательщика-организации, имеющей свидетельство о государственной аккредитации;Дата принятия решения о государственной аккредитации;Реквизиты свидетельства о государственной аккредитации;Срок окончания свидетельства о государственной аккредитации;Перечень аккредитованных образовательных программ, укрупненных групп направлений подготовки и специальностей;Основание и дата переоформления свидетельства о государственной аккредитации;Основание и даты приостановлении и  возобновлении действия свидетельства о государственной аккредитации;Основание и дата лишения свидетельства о государственной аккредитации ;Основание и дата прекращения действия  свидетельства о государственной аккредитации ;;;;
министерство образования и науки Калужской области;муниципальное казённое общеобразовательное учреждение «Бережковская основная общеобразовательная школа»;"249451, Калужская область, Кировский район,           
 д. Бережки,  ул. Центральная, д.14
";"широта 54.123268
долгота 34.44501059999993";"понедельник-четверг: 08:00-17:15; пятница: 8:00-16:00; выходной: суббота, воскресенье";1024000897634;4023006158;            11.04.2011                ;   рег. № 21(5)  от 11.04.2011 серия ОП 003182              ;11.04.2023;"начальное общее образование
основное общее образование
";рег.№103 от 07.05.2015 серия 40А01 №0000303-переоформление               ;;;;;;;
министерство образования и науки Калужской области;муниципальное казенное общеобразовательное учреждение «Большесавкинская основная общеобразовательная школа»;"249435, Калужская область, Кировский район, д.  Большие Савки, ул. Кондратюка, д.11
";"широта 54.0502706
долгота 34.19766230000005";"понедельник-четверг: 08:00-17:10; пятница: 8:00-16:00; выходной: суббота, воскресенье";1024000896590;4023006172;06.02.2012;рег.№ 3 (12)  от 06.02.2012 серия ОП № 003361;06.02.2024;"начальное общее образование
основное общее образование
";рег.№99 от 28.04.2015 серия 40А01 №0000299;;;;;;;
министерство образования и науки Калужской области;муниципальное казенное общеобразовательное учреждение «Будо-Анисовская основная общеобразовательная школа»;"249457, Калужская область, Кировский район, деревня  Буда, улица Центральная, дом 14 
";"широта 54.1673476
долгота 34.46201180000003";"понедельник-пятница: 8:30-17:00; выходной: суббота, воскресенье";1024000897282;4023006077;25.03.2014;рег.№ 33 от 25.03.2014 серия 40А01 №0000150;25.03.2026;"начальное общее образование
основное общее образование
 ";рег.№98 от 27.04.2015 серия 40А01 №0000298-переоформление;;;;;;;
министерство образования и науки Калужской области;Государственное казенное общеобразовательное учреждение Калужской области «Кировская школа-интернат для обучающихся с ограниченными возможностями здоровья»;249444, Российская Федерация, Калужская область, город Киров, улица Ленина, дом 16;"широта 54.0679308
долгота 34.29946369999993";круглосуточно;1024000897414;4023003510;14.04.2014;рег.№40 от 14.04.2014 серия 40А01 №0000157;14.04.2026;"начальное общее образование
основное общее образование
среднее общее образование "; 24.11.2014 - переоформление приложения, рег.№78 от 05.05.2016 серия 40А01 №0000454-переоформление;;;;;;;
министерство образования и науки Калужской области;Государственное бюджетное профессиональное образовательное учреждение Калужской области «Кировский индустриально-педагогический колледж» им. А.П. Чурилина ;249440,  Калужская область, г. Киров, ул.Ленина, д. 14;"широта 54.0709546
долгота 34.29742759999999";"понедельник- четверг; 8:00 - 17:15; пятница; 8:00 - 16:00;  выходные: воскресенье ";1024000897128;4023003213;28.02.2014;рег.№17 от 28.02.2014 серия 40А01 №0000134;28.02.2020;"13.00.00 Наименование укрупненной группы профессий
ЭЛЕКТРО- И ТЕПЛОЭНЕРГЕТИКА
15.00.00 Наименование укрупненной группы профессий
МАШИНОСТРОЕНИЕ
19.00.00 Наименование укрупненной группы профессий
ПРОМЫШЛЕННАЯ ЭКОЛОГИЯ И БИОТЕХНОЛОГИИ
23.00.00 Наименование укрупненной группы профессий
ТЕХНИКА И ТЕХНОЛОГИИ НАЗЕМНОГО ТРАНСПОРТА
35.00.00 Наименование укрупненной группы профессий
СЕЛЬСКОЕ, ЛЕСНОЕ И РЫБНОЕ ХОЗЯЙСТВО
38.00.00 Наименование укрупненной группы профессий 
ЭКОНОМИКА И УПРАВЛЕНИЕ
08.00.00 Наименование укрупненной группы специальностей 
ТЕХНИКА И ТЕХНОЛОГИИ СТРОИТЕЛЬСТВА
15.00.00 Наименование укрупненной группы специальностей
МАШИНОСТРОЕНИЕ
43.00.00 Наименование укрупненной группы специальностей
СЕРВИС И ТУРИЗМ
44.00.00 Наименование укрупненной группы специальностей
ОБРАЗОВАНИЕ И ПЕДАГОГИЧЕСКИЕ НАУКИ
49.00.00 Наименование укрупненной группы специальностей
ФИЗИЧЕСКАЯ КУЛЬТУРА И СПОРТ";рег.№85 от 09.12.2014 серия 40А01 №0000013-переоформление, рег.№16 от 03.02.2016 серия  40А01 №0000040-переоформление, рег.№87 от 18.05.2016 серия 40А01 №0000050 - переоформление;;;;;;;
министерство образования и науки Калужской области;муниципальное казённое общеобразовательное учреждение «Средняя общеобразовательная школа №1», г. Козельск Козельского района Калужской области;249722, Калужская область, г.Козельск, ул.Чкалова д.27;"широта 54.0367039
долгота 35.779799899999944";"понедельник-пятница: 08:00-18:00; суббота: 08:00-15:00; выходной: воскресенье";1024000669164;4009005836;16.12.2014;рег.№87 от 16.12.2014 серия 40А01 №0000190;16.12.2026;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;Муниципальное казённое общеобразовательное учреждение «Средняя общеобразовательная школа № 3», г. Козельск Козельского района Калужской области;249720, Калужская область, г.Козельск, ул. Генерала Бурмака, д.45а;"широта 54.0388994
долгота 35.7674849";"понедельник-пятница: 08:00-18:00; суббота: 08:00-13:25; выходной: воскресенье";1024000668746;4009006090;29.02.2016;  рег. № 32 от 29.02.2016 серия 40А01 №0000414;29.02.2028;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;Муниципальное казённое общеобразовательное учреждение «Средняя общеобразовательная школа № 1», г. Сосенский Козельского района Калужской области;249710, Калужская область, Козельский район, г.Сосенский, ул.Ломоносова, дом 31;"широта 54.0617326
долгота 35.96610390000001";"понедельник-пятница: 08:00-17:00; суббота: 08:30-12:30; выходной: воскресенье";1024000668724;4009004582; 01.12.2014;рег.№79 от 01.12.2014 серия 40А01 №0000184; 01.12.2026 ;"начальное общее образование
основное общее образование
среднее общее образование ";29.02.2016 - переоформление приложения;;;;;;;
министерство образования и науки Калужской области;Муниципальное казённое общеобразовательное учреждение «Средняя общеобразовательная школа № 2», г. Сосенский Козельского района Калужской области;249711, Калужская область, Козельский район, г.Сосенский, ул.35 лет Победы, д.3;"широта 54.0511115
долгота 35.94906579999997";"понедельник-четверг: 8:00-17:15; пятница: 08:00-16:00; суббота: 08:30-15:00; выходной: воскресенье";1024000668713;4009004575;29.12.2015;рег.№173 от 29.12.2015 серия 40А01 №0000363;29.12.2027;"начальное общее образование
основное общее образование
среднее общее образование
";03.02.2017 - переоформление приложения;;;;;;;
министерство образования и науки Калужской области;Муниципальное казённое общеобразовательное учреждение «Средняя общеобразовательная школа»,  д. Киреевское - Второе Козельского района Калужской области;249736, Калужская область, Козельский район, д. Киреевское-Второе, ул. Школьная, дом 13;"широта 53.8999471
долгота 35.92633019999994";"понедельник-пятница: 08:30-17:00; суббота: 08:30-14:00; выходной: воскресенье";1024000668977;4009006170;04.02.2014;рег.№12 от 04.02.2014 серия 40А01 №0000212;04.02.2027;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;Муниципальное казённое общеобразовательное учреждение «Основная общеобразовательная школа», д. Дешовки Козельского района Калужской области;249713, Калужская область, Козельский район, д.Дешовки, ул.Специалистов, д.10;"широта 54.0017795
долгота 35.78717740000002";"понедельник-пятница: 08:00-17:00; суббота: 12:30-16:00; выходной: воскресенье";1024000670330;4009006212;29.02.2016; рег. №33 от 29.02.2016 серия 40А01 №0000415;29.02.2028;"начальное общее образование
основное общее образование
"; ;;;;;;;
министерство образования и науки Калужской области;Муниципальное казённое общеобразовательное учреждение «Основная общеобразовательная школа №2»,  г. Козельск Козельского района Калужской области;249723 Калужская область, Козельский район, г. Козельск, ул.Заводская, д.6;"широта 54.02632389999999
долгота 35.82302900000002";"понедельник-пятница: 08:30-20:00; выходной: суббота, воскресенье";1024000669923;4009006011;29.12.2015;рег.№186 от 29.12.2015 серия 40А01 №0000375;29.12.2027;"начальное общее образование
основное общее образование
";;;;;;;;
министерство образования и науки Калужской области;Муниципальное казённое общеобразовательное учреждение «Основная общеобразовательная школа №4», г. Козельск Козельского района Калужской области;249722 Калужская область, г. Козельск, ул. Суворова, д.22;"широта 54.0237569
долгота 35.786568399999965";"понедельник-суббота: 08:30-16:00; выходной:воскресенье";1024000669780;4009006195;14.03.2011; рег.№ 22(3) от 14.03.2011 серия ОП № 003144;14.03.2023;"начальное общее образование
основное общее образование
"; рег. №90 от 26.08.2011 серия ОП 003302-переоформление;;;;;;;
министерство образования и науки Калужской области;Муниципальное казённое общеобразовательное учреждение «Основная общеобразовательная школа», д. Подборки Козельского района Калужской области;249705 Калужская область, Козельский район, д. Подборки, улица Мира, д. 1/4;"широта 54.1750097
долгота 35.93098439999994";"понедельник-пятница: 08:00-17:00; выходной: суббота, воскресенье";1024000668780;4009006188;29.02.2016; рег. № 34 от 29.02.2016 серия 40А01 №0000416;29.02.2028;"начальное общее образование
основное общее образование
"; ;;;;;;;
министерство образования и науки Калужской области;муниципальное казённое общеобразовательное учреждение «Основная общеобразовательная школа», с. Покровск Козельского района Калужской области;249718, Калужская область, Козельский район, село Покровск, ул. Победы, д.1;"широта 54.1189767
долгота 35.62292409999998";"понедельник-пятница: 08:00-15:00; выходной: суббота, воскресенье";1024000669417;4009006149;14.03.2011; рег. № 27(3) от 14.03.2011 серия ОП № 003149;14.03.2023;"начальное общее образование
основное общее образование
"; рег.№ 92 от 26.08.2011 серия ОП 003304, рег.№ 215 от 24.12.2012 серия 40А01 № 0000014-переоформление, рег. №100 от 30.08.2016 серия 40А01 №0000473 - переоформление;;;;;;;
министерство образования и науки Калужской области;Муниципальное казённое общеобразовательное учреждение «Основная общеобразовательная школа», с. Нижние Прыски Козельского района Калужской области;249708, Калужская область, Козельский район, село Нижние Прыски, ул.Центральная, д.109;"широта 54.0825132
долгота 35.84401890000004";"понедельник-пятница: 08:30-17:00; выходной: суббота, воскресенье";1024000670374;4009006131;11.04.2011; рег. № 15(5) от 11.04.2011 серия ОП № 003176;11.04.2023;"начальное общее образование
основное общее образование
"; рег. №99 от 05.10.2011 серия ОП 003314, рег.№ 162 от 23.05.2012 серия ОП 003536-переоформление, рег.№ 101 от 30.08.2016 серия 40А01 №0000474  - переоформление;;;;;;;
министерство образования и науки Калужской области;Муниципальное казённое общеобразовательное учреждение «Основная общеобразовательная школа», с. Березичский стеклозавод Козельского района Калужской области;249730 Калужская область, Козельский район, с. Березичский стеклозавод, ул. Школьная, д.7а;"широта 53.9610806
долгота 35.8328219";"понедельник-пятница: 08:00-17:00; выходной: суббота, воскресенье";1024000669714;4009006029;16.11.2015;рег.№151 от 16.11.2015 серия 40А01 №0000343;16.11.2027;"начальное общее образование
основное общее образование
";;"приказ от 13.11.2012 №2170
приказ от 22.11.2012 №2277";;;;;;
министерство образования и науки Калужской области;Муниципальное казённое общеобразовательное учреждение «Основная общеобразовательная школа», с. Волконское Козельского района Калужской области;249712, Калужская область, Козельский район, с.Волконское, ул. 65 лет Победы, д.143 «а«;"широта 53.9336874
долгота 35.666357699999935";"понедельник-пятница: 07:30-18:00; выходной: суббота, воскресенье";1024000669428;4009006244;01.12.2014;рег.№80 от 01.12.2014 серия 40А01 №0000185;01.12.2026;"начальное общее образование
основное общее образование
";;;;;;;;
министерство образования и науки Калужской области;Муниципальное казённое общеобразовательное учреждение «Основная общеобразовательная школа», д. Каменка Козельского района Калужской области;249706, Калужская область, Козельский район, деревня Каменка, переулок Школьный, дом 7;"широта 54.1495871
долгота 35.8993107";"понедельник-пятница: 08:00-17:00; выходной: суббота, воскресенье";1024000669010;4009006100;03.02.2015;рег.№10 от 03.02.2015 серия 40А01 №0000211;03.02.2027;"начальное общее образование
основное общее образование
";;;;;;;;
министерство образования и науки Калужской области;Муниципальное казённое общеобразовательное учреждение «Основная общеобразовательная школа», с. Попелёво Козельского района Калужской области;"249701, Калужская область, Козельский район, 
с. Попелёво, ул. Мира, д.4";"широта 54.0925229
долгота 35.718697099999986";"понедельник-пятница: 08:00-17:00; выходной: суббота, воскресенье";1024000668768;4009005970;29.12.2015;рег.№185 от 29.12.2015 серия 40А01 №0000374;29.12.2027;"начальное общее образование
основное общее образование
"; рег. №88 от 02.08.2011 серия ПО 003300,  рег.№ 163 от 23.05.2012 серия ОП 003537-переоформление;;;;;;;
министерство образования и науки Калужской области;Негосударственное общеобразовательное учреждение «Православная гимназия в г. Козельске»;Российская Федерация, 249700, Калужская область, город Козельск, улица  Паршина, д.2 а ;"широта 54.0374393
долгота 35.789641200000005";"понедельник-пятница: 08:30-20:00; суббота: 08:30-16:00; выходной: воскресенье";1024000668504;4009005226;28.03.2014;рег.№36 от 28.03.2014 серия 40А01 №0000153;28.03.2026;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;"Государственное  казенное общеобразовательное учреждение Калужской области  «Козельская общеобразовательная школа-интернат для обучающихся с ограниченными возможностями здоровья» 
";249722, Калужская область, город Козельск, улица Большая Советская, д.25;"широта 54.0292493
долгота 35.79337269999996";круглосуточно;1024000670000;4009003236;11.05.2011;рег.№ 35 (7)  от 11.05.2011 серия ОП 003241;11.05.2023;"начальное общее образование
основное общее образование
среднее общее образование ";рег.№39 от 17.03.2016 серия 40А01 №0000421-переоформление;;;;;;;
министерство образования и науки Калужской области;"Государственное бюджетное профессиональное образовательное учреждение Калужской области «Сосенский политехнический техникум» 
";"249710, Калужская область, Козельский район, г. Сосенский, ул. Ломоносова, д. 19
";"широта 54.0596439
долгота 35.96408369999995";"понедельник- пятница; 8:00-17:00; выходные: суббота, воскресенье";1024000668735;4009003557;28.02.2014;рег.№18 от 28.02.2014 серия 40А01 №0000135;28.02.2020;"19.00.00 Наименование укрупненной группы профессий
ПРОМЫШЛЕННАЯ ЭКОЛОГИЯ И БИОТЕХНОЛОГИИ
23.00.00 Наименование укрупненной группы профессий
ТЕХНИКА И ТЕХНОЛОГИИ НАЗЕМНОГО ТРАНСПОРТА
35.00.00 Наименование укрупненной группы профессий
СЕЛЬСКОЕ, ЛЕСНОЕ И РЫБНОЕ ХОЗЯЙСТВО
09.00.00 Наименование укрупненной группы специальностей
ИНФОРМАТИКА И ВЫЧИСЛИТЕЛЬНАЯ ТЕХНИКА";рег.№169 от 21.12.2015 серия 40А01 №0000033 - переоформление;;;;;;;
министерство образования и науки Калужской области;Муниципальное казённое общеобразовательное учреждение Бетлицкая средняя общеобразовательная школа;249500, Калужская область, Куйбышевский район, пос. Бетлица, пер. Школьный дом 1;"широта 54.0131282
долгота 33.94835050000006";"понедельник: 08:00-16:30; вторник-пятница: 08:00-16:00, выходной: суббота, воскресенье";1024000898437;4010001547;29.12.2015;рег.№192 от 29.12.2015 серия 40А01 №0000381;29.12.2027;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;муниципальное казённое общеобразовательное учреждение Бутчинская средняя общеобразовательная школа;"249502, Калужская область, Куйбышевский район, с.Бутчино, улица  Школьная, дом 11
";"широта 53.9102081
долгота 34.05297159999998";"понедельник-пятница: 08:30-17:00; суббота: 08:30-15:00, выходной: воскресенье";1024000898525;4010001554;29.02.2016; рег. № 35 от 29.02.2016 серия 40А01 №0000417;29.02.2028;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;муниципальное казённое общеобразовательное учреждение Мокровская средняя общеобразовательная школа;"249510, Калужская область, Куйбышевский район, 
с. Мокрое, улица Центральная, дом 40
";"широта 54.0597287
долгота 33.89903170000002";"понедельник, среда, пятница: 07:45-16:00; вторник, четверг, суббота: 09:00-14:00, выходной: воскресенье";1024000898514;4010001561;16.11.2015;рег.№150 от 16.11.2015 серия 40А01 №0000342;16.11.2027;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;муниципальное казённое общеобразовательное учреждение Жерелёвская средняя общеобразовательная школа;"249516, Калужская область, Куйбышевский район, 
с. Жерелёво, д.61а
";"широта 54.1922536
долгота 33.71990830000004";"понедельник-пятница: 08:00-16:00; выходной: суббота, воскресенье";1024000898459;4010001579;09.02.2015;рег.№14 от 09.02.2015 серия 40А01 №0000214;09.02.2027;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;Муниципальное казённое общеобразовательное учреждение Кузьминичская основная общеобразовательная школа;" Калужская область, Куйбышевский район, деревня Кузьминичи, улица Центральная, дом 3
";"широта 54.2373015
долгота 33.71406939999997";"понедельник-пятница: 08:00-17:15; выходной: суббота, воскресенье";1024000898481;4010001628;29.02.2016; рег. № 36 от 29.02.2016 серия 40А01 №0000418;29.02.2028;"начальное общее образование
основное общее образование
";;;;;;;;
министерство образования и науки Калужской области;Муниципальное казённое общеобразовательное учреждение Савченская основная общеобразовательная школа;"249513, Калужская область, Куйбышевский район, 
д. Емельяновичи, д.35
";"широта 54.07294539999999
долгота 33.61004509999998";"понедельник-пятница: 08:00-18:00; суббота: 08:00-16:00, выходной: воскресенье";1024000893893;4010001667;29.02.2016;рег.№37 от 29.02.2016 серия 40А01 №0000419;29.02.2028;"начальное общее образование
основное общее образование
";;;;;;;;
министерство образования и науки Калужской области;муниципальное казённое общеобразовательное учреждение Лужницкая основная общеобразовательная школа;"249503, Калужская область, Куйбышевский район, д.Лужница, д.122
";"широта 53.94027140000001
долгота 34.04094190000001";"понедельник-пятница: 09:00-16:00; суббота: 09:00-14:00, выходной: воскресенье";1024000898470;4010001530;16.11.2015;рег.№153 от 16.11.2015 серия 40А01 №0000345;16.11.2027;"
начальное общее образование
основное общее образование
";03.02.2017 - переоформление приложения;;;;;;;
министерство образования и науки Калужской области;Муниципальное казённое общеобразовательное учреждение Закрутовская основная общеобразовательная школа;"249519, Калужская область, Куйбышевский район, 
с. Закрутое, д.25
";"широта 54.1389246
долгота 33.94333699999993";"понедельник-пятница: 09:00-19:00; суббота: 09:00-14:00, выходной: воскресенье";1024000898536;4010001593;16.11.2015;рег.№152 от 16.11.2015 серия 40Л01 №0000344;16.11.2027;"начальное общее образование
основное общее образование
";;;;;;;;
министерство образования и науки Калужской области;муниципальное казенное общеобразовательное учреждение «Средняя общеобразовательная школа №1»;249400, Калужская область, г.Людиново, ул.К.Маркса, д.48;"широта 53.85809339999999
долгота 34.44647680000003";"понедельник-пятница: 08:00-18:20; суббота: 08:00-13:40, выходной: воскресенье";1024000913166;4024005654;14.11.2011; рег. №72 от 14.11.2011 серия ОП 003326;14.11.2023;"начальное общее образование
основное общее образование
среднее общее образование ";рег.№ 133 от 27.04.2012 серия ОП № 003501-переоформление, рег.№135 от 30.09.2015 серия 40А01 №0000331-переоформление;;;;;;;
министерство образования и науки Калужской области;муниципальное казённое общеобразовательное учреждение «Средняя общеобразовательная школа  № 2»;249400, Калужская область, г.Людиново, ул.Энгельса, д.48;"широта 53.8711156
долгота 34.43781349999995";"понедельник-пятница: 08:00-19:30; суббота: 08:00-17:30, выходной: воскресенье";1024000913760;4024005809;26.12.2011; рег.№ 203 от 26.12.2011 серия ОП 003333;26.12.2023;"начальное общее образование
основное общее образование
среднее общее образование ";рег.№ 203 от 19.10.2012 серия ОП № 003584-переоформление, рег.№40 от 11.03.2015 серия 40А01 №0000240-переоформление;;;;;;;
министерство образования и науки Калужской области;муниципальное казённое общеобразовательное учреждение «Средняя общеобразовательная школа № 3»;"249400, Калужская область, г.Людиново, 
ул. Чугунова, д.4";"широта 53.8626909
долгота 34.44057870000006";"понедельник-пятница: 08:00-19:00; суббота: 08:00-14:00, выходной: воскресенье";1024000913540;4024005661;"26.12.2011
"; рег.№ 122 от 26.12.2011серия ОП 003533;26.12.2023;"начальное общее образование
основное общее образование
среднее общее образование ";" рег.№ 160 от 23.05.2012 серия ОП 003338-переоформление, рег.№125 от 24.07.2015 серия 40А01 №0000324-переоформление
";;;;;;;
министерство образования и науки Калужской области;муниципальное казенное общеобразовательное учреждение «Средняя общеобразовательная школа № 4»;"249401, Калужская область, г.Людиново, 
ул.Щербакова, д.1";"широта 53.8334803
долгота 34.40475860000004";"понедельник-пятница: 08:00-18:40; суббота: 08:00-12:25, выходной: воскресенье";1024000913386;4024005679; 26.12.2011 ; рег. № 125 от 26.12.2011 серия ОП № 003341;26.12.2023;"начальное общее образование
основное общее образование
среднее общее образование ";рег.№ 157 от 10.05.2012 серия ОП № 003529-переоформление, рег.№123 от 14.07.2015 серия 40А01 №0000322-переоформление;;;;;;;
министерство образования и науки Калужской области;муниципальное казенное общеобразовательное учреждение «Средняя общеобразовательная школа № 6 имени Героя Советского Союза А.И. Свертилова»;249401, Калужская область, г.Людиново  ул. Герцена, 24;"широта 53.8378554
долгота 34.41191879999997";"понедельник-пятница: 08:00-17:20; суббота: 08:00-15:00, выходной: воскресенье";1024000913749;4024005686;26.12.2011; рег.№126 от 26.12.2011  серия ОП № 003342                                      ;26.12.2023;"начальное общее образование
основное общее образование
среднее общее образование ";рег.№ 166 от 30.05.2012 серия ОП № 003542-переоформление, рег.№39 от 11.03.2015 серия 40А01 №0000239-переоформление, рег. №13 от 23.06.2017 серия 40А01 № 0000523                                           ;;;;;;;
министерство образования и науки Калужской области;"муниципальное казенное общеобразовательное учреждение ""Средняя общеобразовательная школа № 10 с. Заречный имени Героя Советского Союза И.Я. Чугунова""";249419, Калужская область, Людиновский район, с. Заречный, ул. Школьная, д.2;"широта 53.8433806
долгота 34.35708290000002";"понедельник-суббота; 8:30-15:00; выходные: воскресенье";1024000913782;4024005823; 26.12.2011 ; рег.№ 82 от 26.12.2011 серия ОП № 003437 ;26.12.2023;"начальное общее образование
основное общее образование
среднее общее образование ";рег.№ 40 от 22.04.2013 серия 40А01 № 0000059-переоформление, рег.№142 от 30.10.2015 серия 40А01 №0000336-переоформление, рег.№4 от 07.05.2018 серия 40А01 №0000525 - переоформление;;;;;;;
министерство образования и науки Калужской области;муниципальное казенное общеобразовательное учреждение «Манинская средняя общеобразовательная школа»;"249415, Калужская область, Людиновский район, 
д. Манино, ул. Юрия Зиновкина";"широта 53.97273029999999
долгота 34.34159939999995";"понедельник-пятница: 08:00-18:00; суббота: 08:00-15:00, выходной: воскресенье";1024000913397;4024005735; 04.05.2012 ;рег.№ 150 от 04.05.2012 серия ОП № 003522;04.05.2024;"начальное общее образование
основное общее образование
среднее общее образование "; рег.№ 50 от 22.04.2013, серия 40А01 № 0000069;;;;;;;
министерство образования и науки Калужской области;муниципальное казенное общеобразовательное учреждение «Игнатовская основная общеобразовательная школа»;249425, Калужская область, Людиновский район, д.Игнатовка, ул.Центральная, д.21;"широта 53.9293876
долгота 34.55495020000001";"понедельник-пятница: 08:00-16:30; суббота: 08:00-15:30, выходной: воскресенье";1024000914222;4024005608; 04.05.2012  ;рег.№ 148 от 04.05.2012 серия ОП № 003520;04.05.2024;"начальное общее образование
основное общее образование
";рег.№ 38 от 22.04.2013 серия 40А01 № 0000057-переоформление, рег.№ 83 от 26.12.2013 серия 40А01 №0000109-переоформление, рег.№43 от 12.03.2015 серия 40А01 №0000243-переоформление;;;;;;;
министерство образования и науки Калужской области;муниципальное казенное общеобразовательное учреждение «Букановская средняя общеобразовательная школа»;"249421, Калужская область, Людиновский район, 
село  Букань, ул.40 лет Победы, д. 6 Б


";"широта 53.9135698
долгота 34.706679699999995";"понедельник; 8:30 -14:10; вторник; 8:30-18:40; среда; 8:30-17:40; четверг; 8:30-16:00; пятница; 8:30-18:40; суббота; 8:30-11:15; выходные: воскресенье  ";1024000914156;4024005774;" 02.04.2012 
";"рег.№ 64 от 02.04.2012 
серия ОП № 003499";02.04.2024;"начальное общее образование
основное общее образование
среднее общее образование "; рег.№53 от 19.03.2015 серия 40А01 №0000253-переоформление;;;;;;;
министерство образования и науки Калужской области;муниципальное казенное общеобразовательное учреждение «Основная общеобразовательная школа № 5»;249400, Калужская область, г.Людиново, ул. Сестер Хотеевых,5;"широта 53.8614915
долгота 34.46188749999999";понедельник-суббота: 08:00-18:00, выходной: воскресенье;1024000914046;4024005630;"02.04.2012
";"рег.№ 63 от 02.04.2012
 серия ОП № 003417";02.04.2024;"начальное общее образование
основное общее образование
"; рег.№ 26 от 11.03.2013 серия 40А01 № 0000043-переоформление, рег.№121 от 14.07.2015 серия 40А01 №0000320-переоформление;;;;;;;
министерство образования и науки Калужской области;муниципальное казенное общеобразовательное учреждение «Основная общеобразовательная школа № 8»;249403, Калужская область, г.Людиново, ул.Салтыкова-Щедрина, д.9;"широта 53.87622959999999
долгота 34.46392400000002";"понедельник-пятница: 07:00-19:00; суббота: 08:00-16:00, выходной: воскресенье";1024000914068;4024005799;"02.04.2012 
";"рег.№ 66 от 02.04.2012 
серия ОП № 003420";02.04.2024;"начальное общее образование
основное общее образование
"; рег.№ 29 от 11.03.2013 серия 40А01 № 0000047-переоформление, рег.№52 от 19.03.2015 серия 40А01 №0000252-переоформление;;;;;;;
министерство образования и науки Калужской области;муниципальное казенное общеобразовательное учреждение «Основная общеобразовательная школа № 12»;"249400, Калужская область, г. Людиново, 
ул. Соколова, д.2";"широта 53.8817068
долгота 34.43439609999996";понедельник-суббота: 08:30-20:00, выходной: воскресенье;1024000914057;4024005615;02.04.2012;рег.№ 65 от 02.04.2012 серия ОП № 003419;02.04.2024;"начальное общее образование
основное общее образование
"; рег.№51 от 19.03.2015 серия 40А01 №0000251-переоформление;;;;;;;
министерство образования и науки Калужской области;муниципальное казенное общеобразовательное учреждение  «Войловская основная общеобразовательная школа»;249413 Калужская область, д. Войлово, ул. Центральная, д. 7;"широта 53.814407
долгота 34.54256510000005";"понедельник-пятница: 08:00-19:30; суббота: 08:00-13:40, выходной: воскресенье";1024000914190;4024005781;  04.05.2012  ; рег.№ 147 от 04.05.2012 серия ОП № 003519;04.05.2024;"начальное общее образование
основное общее образование
"; рег.№1 от 12.01.2016 серия 40А01 №0000387-переоформление;;;;;;;
министерство образования и науки Калужской области;муниципальное казённое общеобразовательное учреждение  «Заболотская основная  общеобразовательная школа»;"249414, Калужская область, Людиновский район, 
д. Заболотье, ул. Победы, д.№7";"широта 53.8536413
долгота 34.62546120000002";понедельник-суббота: 08:00-15:00, выходной: воскресенье;1024000914189;4024005750; 04.05.2012 ;рег.№ 151 от 04.05.2012 серия ОП № 003523;04.05.2024;"начальное общее образование
основное общее образование
"; рег.№ 39 от 22.04.2013 серия 40А01 № 0000058-переоформление, рег.№50 от 19.03.2015 серия 40А01 №0000250-переоформление;;;;;;;
