Наименование аккредитационного органа, выдавшего свидетельство о государственной аккредитации;Полное наименование, местонахождение организации, имеющей свидетельство о государственной аккредитации  ;Местонахождение юридического лица;Геоданные;Режим работы;Государственный регистрационный номер записи о создании юридического лица;Идентификационный номер налогоплательщика-организации, имеющей свидетельство о государственной аккредитации;Дата принятия решения о государственной аккредитации;Реквизиты свидетельства о государственной аккредитации;Срок окончания свидетельства о государственной аккредитации;Перечень аккредитованных образовательных программ, укрупненных групп направлений подготовки и специальностей;Основание и дата переоформления свидетельства о государственной аккредитации;Основание и даты приостановлении и  возобновлении действия свидетельства о государственной аккредитации;Основание и дата лишения свидетельства о государственной аккредитации ;Основание и дата прекращения действия  свидетельства о государственной аккредитации ;;;;
министерство образования и науки Калужской области;Муниципальное казённое общеобразовательное учреждение «Барятинская средняя общеобразовательная школа»;249650, Калужская область, Барятинский район, село Барятино, улица Болдина, дом 3;"широта 54.31560529999999
долгота 34.527619200000004";"понедельник-пятница: 08:00 - 21:00; выходной: суббота, воскресенье";1024000765007;4002002339;05.03.2014;рег.№23 от 05.03.2014 серия 40А01 №0000140;05.03.2026;"начальное общее образование
основное общее образование
среднее общее образование ";рег.№42 от 11.03.2015 серия 40А01 №0000242-переоформление;;;;;;;
министерство образования и науки Калужской области;Муниципальное казённое общеобразовательное учреждение «Китежская средняя общеобразовательная школа»;249650, Калужская область, Барятинский район, деревня Чумазово, улица Китежская, дом 5;"широта 54.3847767
долгота 34.472908200000006";"понедельник-пятница: 08:30 - 17:00; выходной: суббота, воскресенье";1024000765029;4002002307;03.02.2015;рег.№8 от 03.02.2015 серия 40А01 №0000209;03.02.2027;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;Муниципальное казённое общеобразовательное учреждение «Бахмутовская основная общеобразовательная школа»;249640, Калужская область, Барятинский район, деревня Бахмутово, ул. Молодёжная, дом 2;"широта 54.3478795
долгота 34.30740019999996";"понедельник-пятница: 08:30 - 15:00; выходной: суббота, воскресенье";1024000765030;4002002280;11.05.2011;"рег. № 31 
от 11.05.2011 серия ОП 003234";11.05.2023;"начальное общее образование
основное общее образование
"; рег.№88 от 14.04.2015 серия 40А01 №0000289-переоформление ;;;;;;;
министерство образования и науки Калужской области;Муниципальное казённое общеобразовательное учреждение «Крисаново-Пятницкая основная общеобразовательная школа»;249662, Калужская область, Барятинский район, деревня Крисаново-Пятница, улица Школьная, дом 1;"широта 54.3677609
долгота 34.63132619999999";"понедельник-пятница: 09:00 - 17:00; выходной: суббота, воскресенье";1024000764985;4002002314;08.04.2015;рег.№75 от 08.04.2015 серия 40А01 №0000276;08.04.2027;"начальное общее образование
основное общее образование
";;;;;;;;
министерство образования и науки Калужской области;Муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа №1 г. Боровск»;249000 Калужская область, г. Боровск, ул. Ленина, д. 26;"широта 55.2035384
долгота 36.486218699999995";"понедельник-четверг: 08:00 - 17:15, пятница: 08:00 - 16:00; выходной: суббота, воскресенье";1024000538451;4003001176;29.12.2015;рег.№189 от 29.12.2015 серия 40А01 №0000378;29.12.2027;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области; Муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа № 2 г.Боровска»;249010 Калужская область, г.Боровск, ул. Ленина д.47 ;"широта 55.2036885
долгота 36.48775969999997";"понедельник-пятница: 08:00 - 19:00, суббота: 08:00 - 12:00; выходной: воскресенье";1024000538220;4003001183;11.05.2011;рег.№23(7) от 11.05.2011 серия ОП 003226;11.05.2023;"начальное общее образование
основное общее образование
среднее общее образование "; рег.№ 132 от 24.04.2012 серия ОП № 003500-переоформление, рег.№146 от 15.12.2016 серия 40А01 №0000514  - переоформление;;;;;;;
министерство образования и науки Калужской области;Муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа №4 г.Боровск-1»;249011 Калужская область, Боровский район, г.Боровск-1;"широта 55.58714699999999
долгота 37.205111999999985";"понедельник-пятница: 08:00 - 16:00; выходной: суббота, воскресенье";1024000537164;4003001200;01.02.2016;рег.№11 от 01.02.2016 серия 40А01 №0000395;01.02.2028;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;муниципальное общеобразовательное учреждение  «Средняя общеобразовательная ноосферная школа»;249010 Калужская обл., г. Боровск, ул. Большая, д. 38;"широта 55.2033534
долгота 36.48263959999997";"понедельник-пятница: 07:45 - 17:00; выходной: суббота, воскресенье";1024000538320;4003001190;02.04.2012;рег.№ 68 от 02.04.2012 серия ОП № 003422;02.04.2024;"начальное общее образование
основное общее образование
среднее общее образование ";рег.№88 от 23.05.2016 серия 40А01 №0000461 - переоформление;;;;;;;
министерство образования и науки Калужской области;Муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа №1 г. Балабаново»;249000 Калужская область, Боровский район, г.Балабаново, ул.Энергетиков д. 2;"широта 55.1774559
долгота 36.656867799999986";"понедельник-пятница: 08:00 - 20:00; выходной: суббота, воскресенье";1024000535283;4003001070;08.02.2016;рег.№18 от 08.02.2016 серия 40А01 №0000400;08.02.2028;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа №2 г.Балабаново-1»;249001, Калужская область, Боровский район, г.Балабаново-1, ул. Дзержинского, д.108;"широта 55.1925108
долгота 36.61999459999993";"понедельник-пятница: 08:00 - 20:00, суббота: 09:00 - 13:00; выходной: воскресенье";1024000535448;4003001088;01.02.2016;рег.№13 от 01.02.2016 серия 40А01 №0000397;01.02.2028;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа № 3 г. Балабаново»;249004 Калужская область, Боровский район, г. Балабаново, ул. Московская, д. 5а;"широта 55.185059
долгота 36.67342800000006";"понедельник-пятница: 08:00 - 20:00; выходной: суббота, воскресенье";1024000535360;4003001095;08.02.2016;рег.№19 от 08.02.2016 серия 40А01 №0000401;08.02.2028;"начальное общее образование
основное общее образование
среднее общее образование "; ;;;;;;;
